date,city,oil_company,fuel_type,retail_price_inr_per_litre,source
2018-01-25,Bengaluru,HP,Petrol,73.15,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-25,Bengaluru,IndianOil,Diesel,63.41,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-25,Bengaluru,IndianOil,Petrol,72.98,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-26,Bengaluru,HP,Diesel,63.93,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-26,Bengaluru,HP,Petrol,73.1,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-26,Bengaluru,IndianOil,Diesel,63.79,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-26,Bengaluru,IndianOil,Petrol,72.94,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-27,Bengaluru,HP,Diesel,63.79,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-27,Bengaluru,HP,Petrol,73.22,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-27,Bengaluru,IndianOil,Diesel,63.68,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-27,Bengaluru,IndianOil,Petrol,73.02,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-28,Bengaluru,HP,Diesel,63.92,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-28,Bengaluru,HP,Petrol,73.3,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-28,Bengaluru,IndianOil,Diesel,63.74,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-28,Bengaluru,IndianOil,Petrol,73.1,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-29,Bengaluru,HP,Diesel,63.65,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-29,Bengaluru,HP,Petrol,73.18,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-29,Bengaluru,IndianOil,Diesel,63.48,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-29,Bengaluru,IndianOil,Petrol,72.99,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-30,Bengaluru,HP,Diesel,63.52,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-30,Bengaluru,HP,Petrol,73.16,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-30,Bengaluru,IndianOil,Diesel,63.37,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-30,Bengaluru,IndianOil,Petrol,73.0,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-31,Bengaluru,HP,Diesel,63.96,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-31,Bengaluru,HP,Petrol,73.24,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-31,Bengaluru,IndianOil,Diesel,63.8,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-31,Bengaluru,IndianOil,Petrol,73.07,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-01,Bengaluru,HP,Diesel,63.78,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-01,Bengaluru,HP,Petrol,73.25,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-01,Bengaluru,IndianOil,Diesel,63.69,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-01,Bengaluru,IndianOil,Petrol,73.06,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-02,Bengaluru,HP,Diesel,63.52,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-02,Bengaluru,HP,Petrol,73.29,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-02,Bengaluru,IndianOil,Diesel,63.38,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-02,Bengaluru,IndianOil,Petrol,73.1,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-03,Bengaluru,HP,Diesel,63.99,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-03,Bengaluru,HP,Petrol,73.22,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-03,Bengaluru,IndianOil,Diesel,63.84,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-03,Bengaluru,IndianOil,Petrol,72.95,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-04,Bengaluru,HP,Diesel,63.63,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-04,Bengaluru,HP,Petrol,73.26,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-04,Bengaluru,IndianOil,Diesel,63.54,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-04,Bengaluru,IndianOil,Petrol,73.06,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-05,Bengaluru,HP,Diesel,63.76,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-05,Bengaluru,HP,Petrol,73.2,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-05,Bengaluru,IndianOil,Diesel,63.49,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-05,Bengaluru,IndianOil,Petrol,73.06,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-06,Bengaluru,HP,Diesel,63.76,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-06,Bengaluru,HP,Petrol,73.28,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-06,Bengaluru,IndianOil,Diesel,63.51,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-06,Bengaluru,IndianOil,Petrol,73.1,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-07,Bengaluru,HP,Diesel,63.72,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-07,Bengaluru,HP,Petrol,73.25,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-07,Bengaluru,IndianOil,Diesel,63.55,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-07,Bengaluru,IndianOil,Petrol,73.05,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-08,Bengaluru,HP,Diesel,63.84,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-08,Bengaluru,HP,Petrol,73.28,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-08,Bengaluru,IndianOil,Diesel,63.63,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-08,Bengaluru,IndianOil,Petrol,73.01,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-09,Bengaluru,HP,Diesel,63.76,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-09,Bengaluru,HP,Petrol,73.22,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-09,Bengaluru,IndianOil,Diesel,63.67,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-09,Bengaluru,IndianOil,Petrol,73.06,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-10,Bengaluru,HP,Diesel,63.97,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-10,Bengaluru,HP,Petrol,73.19,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-10,Bengaluru,IndianOil,Diesel,63.82,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-10,Bengaluru,IndianOil,Petrol,72.96,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-11,Bengaluru,HP,Diesel,63.7,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-11,Bengaluru,HP,Petrol,73.14,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-11,Bengaluru,IndianOil,Diesel,63.52,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-11,Bengaluru,IndianOil,Petrol,72.96,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-12,Bengaluru,HP,Diesel,63.78,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-12,Bengaluru,HP,Petrol,73.22,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-12,Bengaluru,IndianOil,Diesel,63.67,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-12,Bengaluru,IndianOil,Petrol,73.07,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-13,Bengaluru,HP,Diesel,64.13,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-13,Bengaluru,HP,Petrol,73.29,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-13,Bengaluru,IndianOil,Diesel,63.97,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-13,Bengaluru,IndianOil,Petrol,73.12,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-14,Bengaluru,HP,Diesel,63.88,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-14,Bengaluru,HP,Petrol,73.23,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-14,Bengaluru,IndianOil,Diesel,63.69,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-14,Bengaluru,IndianOil,Petrol,73.06,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-15,Bengaluru,HP,Diesel,63.66,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-15,Bengaluru,HP,Petrol,73.16,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-15,Bengaluru,IndianOil,Diesel,63.43,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-15,Bengaluru,IndianOil,Petrol,72.98,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-16,Bengaluru,HP,Diesel,63.4,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-16,Bengaluru,HP,Petrol,73.18,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-16,Bengaluru,IndianOil,Diesel,63.12,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-16,Bengaluru,IndianOil,Petrol,72.95,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-17,Bengaluru,HP,Diesel,63.81,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-17,Bengaluru,HP,Petrol,73.25,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-17,Bengaluru,IndianOil,Diesel,63.58,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-17,Bengaluru,IndianOil,Petrol,73.04,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-18,Bengaluru,HP,Diesel,63.97,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-18,Bengaluru,HP,Petrol,73.25,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-18,Bengaluru,IndianOil,Diesel,63.74,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-18,Bengaluru,IndianOil,Petrol,73.13,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-19,Bengaluru,HP,Diesel,64.03,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-19,Bengaluru,HP,Petrol,73.31,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-19,Bengaluru,IndianOil,Diesel,63.83,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-19,Bengaluru,IndianOil,Petrol,73.18,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-20,Bengaluru,HP,Diesel,63.78,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-20,Bengaluru,HP,Petrol,73.3,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-20,Bengaluru,IndianOil,Diesel,63.63,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-20,Bengaluru,IndianOil,Petrol,73.13,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-21,Bengaluru,HP,Diesel,63.61,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-21,Bengaluru,HP,Petrol,73.29,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-21,Bengaluru,IndianOil,Diesel,63.47,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-21,Bengaluru,IndianOil,Petrol,73.13,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-22,Bengaluru,HP,Diesel,63.61,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-22,Bengaluru,HP,Petrol,73.18,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-22,Bengaluru,IndianOil,Diesel,63.4,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-22,Bengaluru,IndianOil,Petrol,73.0,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-23,Bengaluru,HP,Diesel,63.82,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-23,Bengaluru,HP,Petrol,73.2,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-23,Bengaluru,IndianOil,Diesel,63.65,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-23,Bengaluru,IndianOil,Petrol,73.02,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-24,Bengaluru,HP,Diesel,63.59,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-24,Bengaluru,HP,Petrol,73.33,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-24,Bengaluru,IndianOil,Diesel,63.45,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-24,Bengaluru,IndianOil,Petrol,73.1,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-25,Bengaluru,HP,Diesel,63.83,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-25,Bengaluru,HP,Petrol,73.38,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-25,Bengaluru,IndianOil,Diesel,63.62,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-25,Bengaluru,IndianOil,Petrol,73.24,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-26,Bengaluru,HP,Diesel,63.68,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-26,Bengaluru,HP,Petrol,73.41,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-26,Bengaluru,IndianOil,Diesel,63.49,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-26,Bengaluru,IndianOil,Petrol,73.19,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-27,Bengaluru,HP,Diesel,63.97,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-27,Bengaluru,HP,Petrol,73.52,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-27,Bengaluru,IndianOil,Diesel,63.77,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-27,Bengaluru,IndianOil,Petrol,73.32,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-28,Bengaluru,HP,Diesel,63.86,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-28,Bengaluru,HP,Petrol,73.62,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-28,Bengaluru,IndianOil,Diesel,63.67,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-02-28,Bengaluru,IndianOil,Petrol,73.38,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-01,Bengaluru,HP,Diesel,64.1,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-01,Bengaluru,HP,Petrol,73.52,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-01,Bengaluru,IndianOil,Diesel,63.98,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-01,Bengaluru,IndianOil,Petrol,73.38,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-02,Bengaluru,HP,Diesel,64.14,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-02,Bengaluru,HP,Petrol,73.56,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-02,Bengaluru,IndianOil,Diesel,63.98,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-02,Bengaluru,IndianOil,Petrol,73.43,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-03,Bengaluru,HP,Diesel,64.05,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-03,Bengaluru,HP,Petrol,73.57,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-03,Bengaluru,IndianOil,Diesel,63.93,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-03,Bengaluru,IndianOil,Petrol,73.28,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-04,Bengaluru,HP,Diesel,63.96,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-04,Bengaluru,HP,Petrol,73.57,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-04,Bengaluru,IndianOil,Diesel,63.9,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-04,Bengaluru,IndianOil,Petrol,73.38,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-05,Bengaluru,HP,Diesel,64.16,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-05,Bengaluru,HP,Petrol,73.67,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-03-05,Bengaluru,IndianOil,Diesel,63.94,PPAC open data portal (Petroleum Planning & Analysis Cell)
