date,station,rainfall_mm,temp_max_c,temp_min_c,humidity_pct
2018-03-27,Bengaluru City (IMD 43295),0.0,28.0,17.7,59.0
2018-03-28,Bengaluru City (IMD 43295),0.0,26.9,16.3,51.0
2018-03-29,Bengaluru City (IMD 43295),0.0,28.1,19.8,56.0
2018-03-30,Bengaluru City (IMD 43295),0.0,28.8,19.2,57.0
2018-03-31,Bengaluru City (IMD 43295),0.0,29.1,20.2,56.0
2018-04-01,Bengaluru City (IMD 43295),0.0,30.7,20.1,55.0
2018-04-02,Bengaluru City (IMD 43295),3.9,28.0,18.3,64.0
2018-04-03,Bengaluru City (IMD 43295),0.0,30.3,21.4,50.0
2018-04-04,Bengaluru City (IMD 43295),0.0,30.1,20.6,58.0
2018-04-05,Bengaluru City (IMD 43295),0.0,29.7,19.7,55.0
2018-04-06,Bengaluru City (IMD 43295),0.0,32.1,21.3,57.0
2018-04-07,Bengaluru City (IMD 43295),0.0,31.3,22.2,59.0
2018-04-08,Bengaluru City (IMD 43295),0.0,32.0,22.5,48.0
2018-04-09,Bengaluru City (IMD 43295),0.0,30.7,19.9,59.0
2018-04-10,Bengaluru City (IMD 43295),0.0,31.1,20.8,57.0
2018-04-11,Bengaluru City (IMD 43295),0.0,30.4,20.2,50.0
2018-04-12,Bengaluru City (IMD 43295),0.0,29.2,19.0,57.0
2018-04-13,Bengaluru City (IMD 43295),0.0,29.0,19.0,47.0
2018-04-14,Bengaluru City (IMD 43295),8.3,29.8,20.4,61.0
2018-04-15,Bengaluru City (IMD 43295),0.0,27.1,18.8,46.0
2018-04-16,Bengaluru City (IMD 43295),0.0,32.4,23.2,57.0
2018-04-17,Bengaluru City (IMD 43295),0.0,30.0,21.2,50.0
2018-04-18,Bengaluru City (IMD 43295),0.0,32.2,23.0,52.0
2018-04-19,Bengaluru City (IMD 43295),0.0,31.0,22.1,60.0
2018-04-20,Bengaluru City (IMD 43295),0.0,30.6,20.8,53.0
2018-04-21,Bengaluru City (IMD 43295),8.4,30.8,21.9,55.0
2018-04-22,Bengaluru City (IMD 43295),0.0,32.4,22.3,60.0
2018-04-23,Bengaluru City (IMD 43295),0.0,32.8,22.0,49.0
2018-04-24,Bengaluru City (IMD 43295),0.0,29.8,20.8,66.0
2018-04-25,Bengaluru City (IMD 43295),0.0,31.8,21.6,51.0
2018-04-26,Bengaluru City (IMD 43295),0.0,29.5,19.1,54.0
2018-04-27,Bengaluru City (IMD 43295),0.0,29.8,20.4,55.0
2018-04-28,Bengaluru City (IMD 43295),0.0,29.6,19.5,55.0
2018-04-29,Bengaluru City (IMD 43295),0.0,32.4,24.7,54.0
2018-04-30,Bengaluru City (IMD 43295),0.0,31.1,22.7,54.0
2018-05-01,Bengaluru City (IMD 43295),0.0,29.6,21.6,54.0
2018-05-02,Bengaluru City (IMD 43295),0.0,30.4,21.1,58.0
2018-05-03,Bengaluru City (IMD 43295),0.0,31.9,23.0,55.0
2018-05-04,Bengaluru City (IMD 43295),1.4,31.2,22.2,61.0
2018-05-05,Bengaluru City (IMD 43295),0.0,31.3,22.4,58.0
2018-05-06,Bengaluru City (IMD 43295),0.0,30.7,23.2,59.0
2018-05-07,Bengaluru City (IMD 43295),0.0,32.0,22.7,64.0
2018-05-08,Bengaluru City (IMD 43295),0.0,31.4,24.7,58.0
2018-05-09,Bengaluru City (IMD 43295),0.0,35.1,26.1,56.0
2018-05-10,Bengaluru City (IMD 43295),0.0,33.5,24.5,56.0
2018-05-11,Bengaluru City (IMD 43295),0.0,32.1,23.2,56.0
2018-05-12,Bengaluru City (IMD 43295),0.0,31.3,21.6,65.0
2018-05-13,Bengaluru City (IMD 43295),0.0,32.8,24.9,56.0
2018-05-14,Bengaluru City (IMD 43295),0.0,32.1,23.1,55.0
2018-05-15,Bengaluru City (IMD 43295),0.0,31.6,23.5,59.0
2018-05-16,Bengaluru City (IMD 43295),0.0,32.5,25.9,59.0
2018-05-17,Bengaluru City (IMD 43295),0.0,31.4,22.4,61.0
2018-05-18,Bengaluru City (IMD 43295),18.8,30.5,22.3,70.0
2018-05-19,Bengaluru City (IMD 43295),0.0,30.5,21.1,65.0
2018-05-20,Bengaluru City (IMD 43295),0.0,33.5,23.3,57.0
2018-05-21,Bengaluru City (IMD 43295),0.0,30.7,23.2,67.0
2018-05-22,Bengaluru City (IMD 43295),4.1,33.7,26.4,67.0
2018-05-23,Bengaluru City (IMD 43295),0.0,30.7,22.2,56.0
2018-05-24,Bengaluru City (IMD 43295),0.0,31.9,23.4,68.0
2018-05-25,Bengaluru City (IMD 43295),0.0,29.6,21.1,70.0
2018-05-26,Bengaluru City (IMD 43295),10.3,31.6,22.6,71.0
2018-05-27,Bengaluru City (IMD 43295),10.3,31.4,22.7,70.0
2018-05-28,Bengaluru City (IMD 43295),11.3,31.5,24.1,67.0
2018-05-29,Bengaluru City (IMD 43295),0.0,30.5,22.1,65.0
2018-05-30,Bengaluru City (IMD 43295),0.0,31.9,23.4,67.0
2018-05-31,Bengaluru City (IMD 43295),0.0,30.5,21.6,63.0
2018-06-01,Bengaluru City (IMD 43295),0.0,33.4,24.8,66.0
2018-06-02,Bengaluru City (IMD 43295),28.0,30.0,22.5,72.0
2018-06-03,Bengaluru City (IMD 43295),0.0,30.9,22.9,68.0
2018-06-04,Bengaluru City (IMD 43295),10.0,30.3,22.5,76.0
2018-06-05,Bengaluru City (IMD 43295),0.0,32.7,22.8,68.0
2018-06-06,Bengaluru City (IMD 43295),0.0,31.7,23.4,64.0
2018-06-07,Bengaluru City (IMD 43295),5.1,32.4,25.0,84.0
2018-06-08,Bengaluru City (IMD 43295),0.0,32.3,24.8,67.0
2018-06-09,Bengaluru City (IMD 43295),3.5,30.5,23.9,77.0
2018-06-10,Bengaluru City (IMD 43295),9.1,30.9,23.8,74.0
2018-06-11,Bengaluru City (IMD 43295),6.4,31.6,25.1,75.0
2018-06-12,Bengaluru City (IMD 43295),0.0,31.6,24.7,61.0
2018-06-13,Bengaluru City (IMD 43295),0.0,31.8,24.6,72.0
2018-06-14,Bengaluru City (IMD 43295),0.0,32.1,24.9,78.0
2018-06-15,Bengaluru City (IMD 43295),0.0,31.5,23.0,78.0
2018-06-16,Bengaluru City (IMD 43295),7.1,31.3,24.3,80.0
2018-06-17,Bengaluru City (IMD 43295),0.0,33.1,25.2,77.0
2018-06-18,Bengaluru City (IMD 43295),24.5,32.0,24.6,84.0
2018-06-19,Bengaluru City (IMD 43295),3.6,30.6,23.1,84.0
2018-06-20,Bengaluru City (IMD 43295),0.0,32.3,25.7,76.0
2018-06-21,Bengaluru City (IMD 43295),0.0,30.6,23.7,78.0
2018-06-22,Bengaluru City (IMD 43295),6.5,31.9,23.8,86.0
2018-06-23,Bengaluru City (IMD 43295),0.0,32.3,25.2,85.0
2018-06-24,Bengaluru City (IMD 43295),0.0,32.0,24.2,76.0
2018-06-25,Bengaluru City (IMD 43295),14.6,30.2,22.9,91.0
2018-06-26,Bengaluru City (IMD 43295),34.4,33.0,26.6,89.0
2018-06-27,Bengaluru City (IMD 43295),0.0,29.8,21.5,77.0
2018-06-28,Bengaluru City (IMD 43295),0.0,29.5,24.0,83.0
2018-06-29,Bengaluru City (IMD 43295),1.6,28.9,21.4,93.0
2018-06-30,Bengaluru City (IMD 43295),34.3,31.0,23.2,86.0
2018-07-01,Bengaluru City (IMD 43295),31.0,29.3,20.5,87.0
2018-07-02,Bengaluru City (IMD 43295),17.1,33.8,27.2,91.0
2018-07-03,Bengaluru City (IMD 43295),0.0,32.8,26.5,78.0
2018-07-04,Bengaluru City (IMD 43295),0.0,31.8,24.2,84.0
2018-07-05,Bengaluru City (IMD 43295),16.4,31.5,25.2,88.0
2018-07-06,Bengaluru City (IMD 43295),5.1,30.7,22.7,90.0
2018-07-07,Bengaluru City (IMD 43295),0.0,29.6,23.4,82.0
2018-07-08,Bengaluru City (IMD 43295),2.4,31.8,23.7,83.0
2018-07-09,Bengaluru City (IMD 43295),0.0,31.4,23.3,79.0
2018-07-10,Bengaluru City (IMD 43295),0.0,30.9,24.8,83.0
2018-07-11,Bengaluru City (IMD 43295),0.0,31.7,24.0,79.0
2018-07-12,Bengaluru City (IMD 43295),13.6,31.6,24.0,90.0
2018-07-13,Bengaluru City (IMD 43295),41.4,31.9,23.4,85.0
2018-07-14,Bengaluru City (IMD 43295),4.8,29.5,22.9,86.0
2018-07-15,Bengaluru City (IMD 43295),0.0,31.1,24.1,86.0
2018-07-16,Bengaluru City (IMD 43295),7.9,30.1,22.7,93.0
2018-07-17,Bengaluru City (IMD 43295),0.0,30.0,23.7,80.0
2018-07-18,Bengaluru City (IMD 43295),0.0,30.4,24.7,75.0
2018-07-19,Bengaluru City (IMD 43295),0.0,30.5,22.4,73.0
2018-07-20,Bengaluru City (IMD 43295),0.0,30.5,24.9,74.0
2018-07-21,Bengaluru City (IMD 43295),7.9,30.8,24.6,89.0
2018-07-22,Bengaluru City (IMD 43295),0.0,28.5,21.3,85.0
2018-07-23,Bengaluru City (IMD 43295),10.9,31.5,25.2,90.0
2018-07-24,Bengaluru City (IMD 43295),0.0,32.6,25.4,75.0
2018-07-25,Bengaluru City (IMD 43295),28.1,29.9,22.7,91.0
2018-07-26,Bengaluru City (IMD 43295),32.6,32.2,26.4,87.0
2018-07-27,Bengaluru City (IMD 43295),2.0,29.8,24.9,85.0
2018-07-28,Bengaluru City (IMD 43295),0.0,29.0,21.0,70.0
2018-07-29,Bengaluru City (IMD 43295),0.0,30.8,25.5,78.0
2018-07-30,Bengaluru City (IMD 43295),0.0,29.8,22.2,78.0
2018-07-31,Bengaluru City (IMD 43295),27.4,30.3,23.0,93.0
2018-08-01,Bengaluru City (IMD 43295),0.0,30.8,23.9,79.0
2018-08-02,Bengaluru City (IMD 43295),1.4,30.7,24.5,88.0
2018-08-03,Bengaluru City (IMD 43295),0.0,28.9,22.2,76.0
2018-08-04,Bengaluru City (IMD 43295),0.0,29.7,23.4,77.0
2018-08-05,Bengaluru City (IMD 43295),5.0,30.0,23.0,88.0
2018-08-06,Bengaluru City (IMD 43295),11.8,31.5,24.5,87.0
2018-08-07,Bengaluru City (IMD 43295),0.0,28.5,22.5,78.0
2018-08-08,Bengaluru City (IMD 43295),0.0,31.0,22.6,86.0
2018-08-09,Bengaluru City (IMD 43295),0.0,32.2,24.5,72.0
2018-08-10,Bengaluru City (IMD 43295),3.4,29.9,22.9,81.0
2018-08-11,Bengaluru City (IMD 43295),7.4,29.9,22.9,83.0
2018-08-12,Bengaluru City (IMD 43295),11.7,30.3,23.1,86.0
2018-08-13,Bengaluru City (IMD 43295),4.7,29.0,21.1,82.0
2018-08-14,Bengaluru City (IMD 43295),3.8,29.1,21.9,81.0
2018-08-15,Bengaluru City (IMD 43295),17.3,29.6,22.6,83.0
2018-08-16,Bengaluru City (IMD 43295),0.0,28.7,21.2,75.0
2018-08-17,Bengaluru City (IMD 43295),0.0,29.7,22.7,71.0
2018-08-18,Bengaluru City (IMD 43295),0.0,28.8,21.1,74.0
2018-08-19,Bengaluru City (IMD 43295),0.0,30.3,24.1,63.0
2018-08-20,Bengaluru City (IMD 43295),0.0,31.2,23.8,72.0
2018-08-21,Bengaluru City (IMD 43295),15.0,29.9,23.6,
2018-08-22,Bengaluru City (IMD 43295),9.2,29.7,22.8,89.0
2018-08-23,Bengaluru City (IMD 43295),0.0,29.1,21.9,76.0
2018-08-24,Bengaluru City (IMD 43295),9.0,29.4,21.5,71.0
2018-08-25,Bengaluru City (IMD 43295),0.0,30.1,22.7,66.0
2018-08-26,Bengaluru City (IMD 43295),0.0,29.2,21.6,72.0
2018-08-27,Bengaluru City (IMD 43295),0.0,28.3,20.6,72.0
2018-08-28,Bengaluru City (IMD 43295),0.0,27.4,19.8,72.0
2018-08-29,Bengaluru City (IMD 43295),0.0,30.1,23.7,63.0
2018-08-30,Bengaluru City (IMD 43295),6.3,28.9,22.4,82.0
2018-08-31,Bengaluru City (IMD 43295),8.5,26.8,19.6,80.0
2018-09-01,Bengaluru City (IMD 43295),0.0,29.5,22.4,69.0
2018-09-02,Bengaluru City (IMD 43295),0.0,27.5,20.6,67.0
2018-09-03,Bengaluru City (IMD 43295),0.0,30.3,22.2,69.0
2018-09-04,Bengaluru City (IMD 43295),0.0,28.7,22.4,68.0
2018-09-05,Bengaluru City (IMD 43295),0.0,28.9,21.3,71.0
2018-09-06,Bengaluru City (IMD 43295),0.0,32.5,24.5,66.0
2018-09-07,Bengaluru City (IMD 43295),0.0,27.7,20.3,75.0
2018-09-08,Bengaluru City (IMD 43295),0.0,29.0,21.5,62.0
2018-09-09,Bengaluru City (IMD 43295),0.0,29.1,19.3,66.0
2018-09-10,Bengaluru City (IMD 43295),0.0,28.5,20.4,64.0
2018-09-11,Bengaluru City (IMD 43295),0.0,28.8,22.0,65.0
2018-09-12,Bengaluru City (IMD 43295),0.0,28.7,20.2,61.0
2018-09-13,Bengaluru City (IMD 43295),0.0,29.3,22.3,68.0
2018-09-14,Bengaluru City (IMD 43295),0.0,29.2,21.9,66.0
2018-09-15,Bengaluru City (IMD 43295),0.0,27.7,20.0,59.0
2018-09-16,Bengaluru City (IMD 43295),0.0,27.8,20.0,65.0
2018-09-17,Bengaluru City (IMD 43295),0.0,27.7,19.5,67.0
2018-09-18,Bengaluru City (IMD 43295),29.0,28.5,21.3,72.0
2018-09-19,Bengaluru City (IMD 43295),22.3,29.8,22.6,84.0
2018-09-20,Bengaluru City (IMD 43295),33.7,27.0,20.1,71.0
2018-09-21,Bengaluru City (IMD 43295),0.0,27.3,20.6,69.0
2018-09-22,Bengaluru City (IMD 43295),0.0,28.3,20.8,69.0
2018-09-23,Bengaluru City (IMD 43295),0.0,28.1,19.5,70.0
2018-09-24,Bengaluru City (IMD 43295),15.4,26.1,19.5,81.0
2018-09-25,Bengaluru City (IMD 43295),0.0,27.8,19.6,68.0
2018-09-26,Bengaluru City (IMD 43295),0.0,28.4,20.9,71.0
2018-09-27,Bengaluru City (IMD 43295),0.0,26.5,19.3,62.0
2018-09-28,Bengaluru City (IMD 43295),0.0,26.1,19.1,74.0
2018-09-29,Bengaluru City (IMD 43295),11.5,27.1,17.7,77.0
2018-09-30,Bengaluru City (IMD 43295),0.0,30.5,22.5,72.0
2018-10-01,Bengaluru City (IMD 43295),0.0,25.8,18.6,68.0
2018-10-02,Bengaluru City (IMD 43295),0.0,28.0,19.7,69.0
2018-10-03,Bengaluru City (IMD 43295),14.6,26.7,17.7,77.0
2018-10-04,Bengaluru City (IMD 43295),4.8,25.1,15.8,72.0
2018-10-05,Bengaluru City (IMD 43295),0.0,26.4,17.9,66.0
2018-10-06,Bengaluru City (IMD 43295),0.0,27.0,19.0,71.0
2018-10-07,Bengaluru City (IMD 43295),0.0,25.1,16.0,74.0
2018-10-08,Bengaluru City (IMD 43295),0.0,27.7,19.1,74.0
2018-10-09,Bengaluru City (IMD 43295),0.0,26.2,18.5,75.0
2018-10-10,Bengaluru City (IMD 43295),0.0,26.4,20.6,80.0
2018-10-11,Bengaluru City (IMD 43295),0.0,26.2,17.9,79.0
2018-10-12,Bengaluru City (IMD 43295),0.0,27.4,18.9,82.0
2018-10-13,Bengaluru City (IMD 43295),0.0,24.1,16.0,80.0
2018-10-14,Bengaluru City (IMD 43295),8.0,24.7,15.9,86.0
2018-10-15,Bengaluru City (IMD 43295),0.0,26.6,18.9,71.0
2018-10-16,Bengaluru City (IMD 43295),14.5,27.4,19.2,89.0
2018-10-17,Bengaluru City (IMD 43295),0.0,24.0,14.8,82.0
2018-10-18,Bengaluru City (IMD 43295),0.0,23.2,16.2,77.0
2018-10-19,Bengaluru City (IMD 43295),0.0,22.5,13.9,74.0
2018-10-20,Bengaluru City (IMD 43295),0.0,24.5,17.1,86.0
2018-10-21,Bengaluru City (IMD 43295),0.0,24.7,15.8,80.0
2018-10-22,Bengaluru City (IMD 43295),0.0,21.7,12.6,77.0
2018-10-23,Bengaluru City (IMD 43295),0.0,24.4,15.3,77.0
2018-10-24,Bengaluru City (IMD 43295),0.0,25.1,16.2,74.0
2018-10-25,Bengaluru City (IMD 43295),49.5,24.2,15.2,92.0
2018-10-26,Bengaluru City (IMD 43295),5.8,25.8,16.4,80.0
2018-10-27,Bengaluru City (IMD 43295),0.0,22.7,13.8,80.0
2018-10-28,Bengaluru City (IMD 43295),0.0,24.2,14.6,70.0
2018-10-29,Bengaluru City (IMD 43295),0.0,23.5,15.0,86.0
2018-10-30,Bengaluru City (IMD 43295),0.0,23.3,15.1,78.0
2018-10-31,Bengaluru City (IMD 43295),0.0,23.7,14.9,79.0
2018-11-01,Bengaluru City (IMD 43295),0.0,22.4,12.9,71.0
2018-11-02,Bengaluru City (IMD 43295),0.0,23.8,14.9,78.0
2018-11-03,Bengaluru City (IMD 43295),6.6,21.6,12.6,75.0
2018-11-04,Bengaluru City (IMD 43295),0.0,24.0,15.1,84.0
2018-11-05,Bengaluru City (IMD 43295),6.9,24.4,15.8,85.0
2018-11-06,Bengaluru City (IMD 43295),13.5,24.8,16.4,91.0
2018-11-07,Bengaluru City (IMD 43295),13.4,23.6,12.9,79.0
2018-11-08,Bengaluru City (IMD 43295),0.0,21.9,12.0,75.0
2018-11-09,Bengaluru City (IMD 43295),4.4,24.4,15.4,78.0
2018-11-10,Bengaluru City (IMD 43295),2.5,25.2,15.2,75.0
2018-11-11,Bengaluru City (IMD 43295),0.0,25.7,15.8,62.0
2018-11-12,Bengaluru City (IMD 43295),0.0,25.7,15.1,67.0
2018-11-13,Bengaluru City (IMD 43295),0.0,25.7,15.8,63.0
2018-11-14,Bengaluru City (IMD 43295),9.8,24.1,15.3,79.0
2018-11-15,Bengaluru City (IMD 43295),0.0,26.9,17.8,
2018-11-16,Bengaluru City (IMD 43295),0.0,24.1,15.4,63.0
2018-11-17,Bengaluru City (IMD 43295),0.0,24.9,16.6,66.0
2018-11-18,Bengaluru City (IMD 43295),0.0,23.8,12.5,58.0
2018-11-19,Bengaluru City (IMD 43295),0.0,24.8,16.9,60.0
2018-11-20,Bengaluru City (IMD 43295),0.0,23.5,14.0,64.0
2018-11-21,Bengaluru City (IMD 43295),0.0,22.9,14.8,64.0
2018-11-22,Bengaluru City (IMD 43295),0.0,22.9,13.8,
2018-11-23,Bengaluru City (IMD 43295),0.0,24.4,14.2,60.0
2018-11-24,Bengaluru City (IMD 43295),0.0,23.4,14.1,59.0
2018-11-25,Bengaluru City (IMD 43295),0.0,24.6,14.8,62.0
2018-11-26,Bengaluru City (IMD 43295),0.0,22.8,12.9,59.0
2018-11-27,Bengaluru City (IMD 43295),0.0,24.8,15.2,56.0
2018-11-28,Bengaluru City (IMD 43295),0.0,24.4,14.4,52.0
2018-11-29,Bengaluru City (IMD 43295),0.0,25.3,14.8,54.0
2018-11-30,Bengaluru City (IMD 43295),0.0,25.3,15.3,61.0
2018-12-01,Bengaluru City (IMD 43295),0.0,23.5,13.9,62.0
2018-12-02,Bengaluru City (IMD 43295),0.0,24.9,14.4,67.0
2018-12-03,Bengaluru City (IMD 43295),0.0,22.7,12.9,58.0
2018-12-04,Bengaluru City (IMD 43295),0.0,23.3,12.8,55.0
2018-12-05,Bengaluru City (IMD 43295),0.0,25.2,15.4,51.0
2018-12-06,Bengaluru City (IMD 43295),0.0,25.1,15.2,50.0
2018-12-07,Bengaluru City (IMD 43295),0.0,23.5,14.3,52.0
2018-12-08,Bengaluru City (IMD 43295),0.0,23.9,14.2,57.0
2018-12-09,Bengaluru City (IMD 43295),0.0,24.1,14.9,56.0
2018-12-10,Bengaluru City (IMD 43295),0.0,25.4,16.1,57.0
2018-12-11,Bengaluru City (IMD 43295),0.0,23.7,12.8,54.0
2018-12-12,Bengaluru City (IMD 43295),0.0,24.9,14.2,55.0
2018-12-13,Bengaluru City (IMD 43295),0.0,24.9,13.7,51.0
2018-12-14,Bengaluru City (IMD 43295),0.0,25.5,15.1,48.0
2018-12-15,Bengaluru City (IMD 43295),0.0,24.6,16.5,53.0
2018-12-16,Bengaluru City (IMD 43295),0.0,23.1,13.3,54.0
2018-12-17,Bengaluru City (IMD 43295),0.0,23.3,12.1,50.0
2018-12-18,Bengaluru City (IMD 43295),0.0,24.2,15.8,46.0
2018-12-19,Bengaluru City (IMD 43295),0.0,26.6,16.9,55.0
2018-12-20,Bengaluru City (IMD 43295),0.0,24.8,14.3,54.0
2018-12-21,Bengaluru City (IMD 43295),1.7,24.3,14.3,65.0
2018-12-22,Bengaluru City (IMD 43295),0.0,24.2,14.0,58.0
2018-12-23,Bengaluru City (IMD 43295),0.0,23.7,12.7,54.0
2018-12-24,Bengaluru City (IMD 43295),0.0,24.6,13.1,54.0
2018-12-25,Bengaluru City (IMD 43295),0.0,25.0,15.1,47.0
2018-12-26,Bengaluru City (IMD 43295),0.0,23.6,12.1,54.0
2018-12-27,Bengaluru City (IMD 43295),0.0,25.1,13.1,53.0
2018-12-28,Bengaluru City (IMD 43295),6.8,26.4,16.5,62.0
2018-12-29,Bengaluru City (IMD 43295),0.0,25.1,13.3,49.0
2018-12-30,Bengaluru City (IMD 43295),0.0,24.1,13.1,51.0
2018-12-31,Bengaluru City (IMD 43295),0.0,25.4,15.1,52.0
2019-01-01,Bengaluru City (IMD 43295),0.0,23.0,11.9,53.0
2019-01-02,Bengaluru City (IMD 43295),0.0,25.3,15.1,53.0
